ParameterName, q0_min, q0_max, q3_min, q3_max
q0q3_1, 0, .10000000000000000000, 0, .10000000000000000000
q0q3_2, 0, .10000000000000000000, .10000000000000000000, .20000000000000000000
q0q3_3, 0, .10000000000000000000, .20000000000000000000, .30000000000000000000
q0q3_4, 0, .10000000000000000000, .30000000000000000000, .40000000000000000000
q0q3_5, 0, .10000000000000000000, .40000000000000000000, .50000000000000000000
q0q3_6, 0, .10000000000000000000, .50000000000000000000, .60000000000000000000
q0q3_7, 0, .10000000000000000000, .60000000000000000000, .70000000000000000000
q0q3_8, 0, .10000000000000000000, .70000000000000000000, .80000000000000000000
q0q3_9, 0, .10000000000000000000, .80000000000000000000, .90000000000000000000
q0q3_10, 0, .10000000000000000000, .90000000000000000000, 1.00000000000000000000
q0q3_11, 0, .10000000000000000000, 1.00000000000000000000, 1.10000000000000000000
q0q3_12, 0, .10000000000000000000, 1.10000000000000000000, 1.20000000000000000000
q0q3_13, 0, .10000000000000000000, 1.20000000000000000000, 1.30000000000000000000
q0q3_14, 0, .10000000000000000000, 1.30000000000000000000, 1.40000000000000000000
q0q3_15, 0, .10000000000000000000, 1.40000000000000000000, 1.50000000000000000000
q0q3_16, 0, .10000000000000000000, 1.50000000000000000000, 1.60000000000000000000
q0q3_17, 0, .10000000000000000000, 1.60000000000000000000, 1.70000000000000000000
q0q3_18, 0, .10000000000000000000, 1.70000000000000000000, 1.80000000000000000000
q0q3_19, 0, .10000000000000000000, 1.80000000000000000000, 1.90000000000000000000
q0q3_20, 0, .10000000000000000000, 1.90000000000000000000, 2.00000000000000000000
q0q3_21, 0, .10000000000000000000, 2.00000000000000000000, 2.10000000000000000000
q0q3_22, 0, .10000000000000000000, 2.10000000000000000000, 2.20000000000000000000
q0q3_23, 0, .10000000000000000000, 2.20000000000000000000, 2.30000000000000000000
q0q3_24, 0, .10000000000000000000, 2.30000000000000000000, 2.40000000000000000000
q0q3_25, 0, .10000000000000000000, 2.40000000000000000000, 2.50000000000000000000
q0q3_26, 0, .10000000000000000000, 2.50000000000000000000, 2.60000000000000000000
q0q3_27, 0, .10000000000000000000, 2.60000000000000000000, 2.70000000000000000000
q0q3_28, 0, .10000000000000000000, 2.70000000000000000000, 2.80000000000000000000
q0q3_29, 0, .10000000000000000000, 2.80000000000000000000, 2.90000000000000000000
q0q3_30, 0, .10000000000000000000, 2.90000000000000000000, 3.00000000000000000000
q0q3_31, 0, .10000000000000000000, 3.00000000000000000000, 3.10000000000000000000
q0q3_32, 0, .10000000000000000000, 3.10000000000000000000, 3.20000000000000000000
q0q3_33, 0, .10000000000000000000, 3.20000000000000000000, 3.30000000000000000000
q0q3_34, 0, .10000000000000000000, 3.30000000000000000000, 3.40000000000000000000
q0q3_35, 0, .10000000000000000000, 3.40000000000000000000, 3.50000000000000000000
q0q3_36, 0, .10000000000000000000, 3.50000000000000000000, 3.60000000000000000000
q0q3_37, 0, .10000000000000000000, 3.60000000000000000000, 3.70000000000000000000
q0q3_38, 0, .10000000000000000000, 3.70000000000000000000, 3.80000000000000000000
q0q3_39, 0, .10000000000000000000, 3.80000000000000000000, 3.90000000000000000000
q0q3_40, 0, .10000000000000000000, 3.90000000000000000000, 4.00000000000000000000
q0q3_41, 0, .10000000000000000000, 4.00000000000000000000, 4.10000000000000000000
q0q3_42, 0, .10000000000000000000, 4.10000000000000000000, 4.20000000000000000000
q0q3_43, 0, .10000000000000000000, 4.20000000000000000000, 4.30000000000000000000
q0q3_44, 0, .10000000000000000000, 4.30000000000000000000, 4.40000000000000000000
q0q3_45, 0, .10000000000000000000, 4.40000000000000000000, 4.50000000000000000000
q0q3_46, 0, .10000000000000000000, 4.50000000000000000000, 4.60000000000000000000
q0q3_47, 0, .10000000000000000000, 4.60000000000000000000, 4.70000000000000000000
q0q3_48, 0, .10000000000000000000, 4.70000000000000000000, 4.80000000000000000000
q0q3_49, 0, .10000000000000000000, 4.80000000000000000000, 4.90000000000000000000
q0q3_50, 0, .10000000000000000000, 4.90000000000000000000, 5.00000000000000000000
q0q3_51, .10000000000000000000, .20000000000000000000, .10000000000000000000, .20000000000000000000
q0q3_52, .10000000000000000000, .20000000000000000000, .20000000000000000000, .30000000000000000000
q0q3_53, .10000000000000000000, .20000000000000000000, .30000000000000000000, .40000000000000000000
